"YEAR","Size_min","Size_max","Size_best","Size_change","Calves","Calves_nonviable","Juveniles_females","Juveniles_males","Juveniles_unknown","Juveniles","Females_fecund_available","Females_fecund_unavailable","Females_fertile","Females_postrep","Females","Males_sprouters","Males_physmat","Males_sexmat","Males","Males_motheralive","Adults_reproductactive","Adults","Adults_unknown","Unknowns","DPER_min","DPER_max","Dependents_foraging","Providers_foraging","Birth_count","Pregnancy_count","Onset_fecundity","Onset_fertility","Onset_male_sexmat","Onset_male_physmat","Death_count","Onset_senescence","Not_seen","md_count","Uncens_count"
1973,113,120,117,0,13,0,11,18,1,30,25,14,25,5,55,7,23,30,48,10,48,74,0,1,16105389,19831529,19,39,5,9,0,0,0,0,0,0,69,0,69
1974,120,123,122,5,13,0,16,20,0,36,21,17,25,5,59,7,23,30,50,9,44,73,0,0,16502308,21090829.5,20,38,9,8,0,0,0,0,4,0,73,0,73
1975,128,131,129,7,17,0,18,21,1,40,27,10,25,5,60,6,24,30,51,9,51,72,0,1,17313090,22454555,29,37,8,2,0,0,0,1,1,1,33,0,33
1976,125,131,130,1,10,0,22,23,1,46,33,5,23,5,65,7,24,31,54,9,57,74,0,1,18270017,22917318,28,37,2,3,0,0,1,0,1,1,78,3,75
1977,129,134,131,1,5,0,26,24,2,52,32,6,24,6,70,6,24,30,54,10,56,74,0,2,18629127,22852103.5,22,36,3,3,0,0,1,2,0,3,72,3,69
1978,131,136,132,1,6,0,24,22,1,47,28,11,24,6,69,9,25,34,56,11,53,79,0,1,19186515,23621660,22,36,3,8,0,0,4,1,1,0,46,3,43
1979,138,142,140,8,11,0,24,19,2,45,24,16,25,6,70,10,28,38,57,13,52,84,0,2,19991887,25090913.5,16,37,8,8,0,0,4,3,2,2,61,2,59
1980,147,149,147,7,17,0,24,18,2,44,25,14,24,8,71,13,26,39,57,12,51,86,0,2,20556257,26262694,16,37,9,6,0,1,3,0,1,1,44,2,42
1981,150,151,150,3,14,1,23,20,2,45,34,9,22,9,75,14,25,39,59,11,59,91,0,2,21291206,26940335.5,22,39,6,4,1,0,1,0,4,0,52,1,51
1982,152,154,152,2,9,0,26,21,2,49,35,12,23,9,82,14,24,38,59,12,59,94,0,2,21792078,27038648,25,40,4,8,1,2,1,1,3,0,6,0,6
