Year,Group ID,Submatriarch ID,HWI,Ag,As,Asm,CK.oa,CK.tr,CM,DPERg,DPERs,FLg,FLs,FRg,FRs,Lm,Ng,Nl,Ns,PMg,PMs,Rg,Rsm,Sg
1980,G015,SM045,0.8,-0.858708254,-0.569903815,-0.147186477,-0.115900802,-0.66957042,-0.6006179,-0.319125811,0.178534582,0.635271016,0.307746343,-0.125581065,-0.239517552,0,-0.188958067,-0.33908353,0.264009715,-0.468460515,-0.253325731,-0.075717302,-0.110477014,0.045678187
1980,G017,SM005,0.4,0.095391143,-0.463770168,-0.723001723,-0.115900802,-0.66957042,-0.6006179,-0.279811246,-0.90568023,0.208704199,0.522113998,-0.466235185,-0.036863082,1,-0.334350086,0.096808139,-0.720087914,0.780672484,-0.253325731,0.367458769,-0.339751931,-0.369845966
1980,G033,SM011,0,-0.010619901,1.924236904,1.175425097,-0.115900802,-0.66957042,-0.6006179,0.570099145,-0.783226915,0.006646233,-0.442540448,-0.401690194,-0.9488082,0,0.538002028,-0.496004531,-0.994294683,-0.008253621,0.338680345,-0.645602294,1.038665581,1.292250645
1980,G038,SM025,0.888888889,0.413424276,0.06689807,0.384725677,-0.115900802,-0.66957042,-0.6006179,-0.044071792,-0.027455796,-0.559116071,-0.442540448,-0.220964219,0.327914965,0,-0.116262058,-0.33908353,0.06140138,0.843129134,0.871485813,-0.73151202,0.283211641,0.045678187
1980,G042,SM043,0.333333333,1.049490541,0.491432661,0.84610162,-0.115900802,-0.66957042,-0.6006179,0.063681554,0.132840886,-0.070503172,0.171330563,-0.689208791,-0.368479488,0,-0.043566048,-0.33908353,0.227171836,1.12134512,0.769230218,-0.526761657,-0.041083433,0.045678187
1980,G050,SM051,0.833333333,-0.116630945,-0.569903815,0.1280492,-0.115900802,-0.66957042,-0.6006179,-0.492226882,0.291892009,-0.559116071,-0.442540448,0.637484164,0.327914965,1,-0.479742106,-0.251905196,0.426096384,-0.468460515,-0.253325731,-0.155254171,-0.387428337,-0.369845966
1980,G051,SM002,0.533333333,-0.010619901,-0.569903815,-0.042283708,-0.115900802,-0.66957042,-0.6006179,-0.380071946,-0.130552813,0.336674244,0.682889739,-0.364038949,0.115127771,1,-0.407046096,-0.077548528,0.06140138,0.260200401,-0.253325731,-0.032477756,-0.344243187,-0.369845966
1980,G053,SM017,0.769230769,-0.646686166,0.279165366,0.075389403,-0.115900802,-0.66957042,-0.6006179,-0.001373702,0.301075462,0.336674244,0.120174645,-0.364038949,-0.416840214,0,0.029129961,-0.426261864,0.06140138,-0.104130057,0.684017223,-0.713764589,0.364733591,0.46120234
1981,G015,SM045,0.666666667,-0.75269721,-0.463770168,-0.075006555,-0.376338403,-0.818169795,-0.781182059,-0.334855614,0.205344125,0.038077473,0.307746343,0.351334703,0.469773095,0,-0.188958067,-0.33908353,0.264009715,-0.468460515,-0.253325731,-0.075717302,-0.110477014,0.045678187
1981,G020,SM034,0.8,-0.275647511,-0.569903815,-0.042283708,-0.376338403,-0.818169795,-0.781182059,-0.411914721,-0.014053639,0.336674244,0.682889739,-0.364038949,0.115127771,1,-0.407046096,-0.077548528,0.06140138,-0.468460515,-0.253325731,-0.032477756,-0.344243187,-0.369845966
